Job,Company,City,Salary,Average_salary,Remote,Skills,More_info
Senior MLOPS Engineer,BCF Software Sp. z o.o.,Wroc³aw,Undisclosed Salary,Not known,not fully remote,"Machine Learning, MLOps, ",https://justjoin.it/offers/bcf-software-sp-z-o-o--senior-mlops-engineer-wroc-aw-data
Big Data Analyst,InPost,Warszawa,Undisclosed Salary,Not known,Fully remote,"Python, SQL, PySpark, ",https://justjoin.it/offers/inpost-big-data-analyst-warszawa-data
Architekt Danych,BEST S.A.,Gdynia,Undisclosed Salary,Not known,Fully remote,"MS SQL, Cassandra, PostgreSQL, ",https://justjoin.it/offers/best-s-a--architekt-danych-gdynia-data
Tech Lead - Data Engineering,Stonex Poland,Kraków,Undisclosed Salary,Not known,not fully remote,"Algorithms, C#, ",https://justjoin.it/offers/stonex-poland-tech-lead---data-engineering-krakow-data
AI Applications Engineer in Data&AI (She/He/They),Accenture,Warszawa,Undisclosed Salary,Not known,not fully remote,"Python, GCP, ",https://justjoin.it/offers/accenture-ai-applications-engineer-in-data-ai-she-he-they--warszawa-data
Data Scientist - Location Intelligence,Allegro,Poznañ,Undisclosed Salary,Not known,not fully remote,"Data Scientist, Data analysis, ",https://justjoin.it/offers/allegro-data-scientist---location-intelligence-poznan-data
Senior Data Science & Business Analyst,Wakacje.pl,Gdañsk,Undisclosed Salary,Not known,not fully remote,"Python, SQL, ",https://justjoin.it/offers/wakacje-pl-senior-data-science-business-analyst-gdansk-data
Data Science Team Leader (Obszar Marketingu),Wakacje.pl,Gdañsk,Undisclosed Salary,Not known,not fully remote,"Python, SQL, ",https://justjoin.it/offers/wakacje-pl-data-science-team-leader-obszar-marketingu--gdansk-data
Experienced Data Warehouse Engineer,Future Mind,Warszawa,18 000 - 24 000 pln,21000.0,Fully remote,"SQL, Cloud Data Warehouse, Data modeling, ",https://justjoin.it/offers/future-mind-experienced-data-warehouse-engineer-warszawa-data
Experienced Data Engineer (Databricks),Future Mind,Warszawa,18 000 - 24 000 pln,21000.0,Fully remote,"Databricks, PySpark, Python, ",https://justjoin.it/offers/future-mind-experienced-data-engineer-databricks--warszawa-data
"AVP, FC Detection & DE (Senior Data Analyst)",HSBC Service Delivery,Kraków,15 000 - 20 000 pln,17500.0,not fully remote,"Hadoop, Data, ",https://justjoin.it/offers/hsbc-service-delivery-avp-fc-detection-de-senior-data-analyst--krakow-data
Data DevOps,PKO Bank Polski,Warszawa,Undisclosed Salary,Not known,not fully remote,"MsSQL, CI/CD, ",https://justjoin.it/offers/pko-bank-polski-data-devops-warszawa-data
Database Developer,NeoGames,Kraków,Undisclosed Salary,Not known,not fully remote,"MsSQL, T-SQL, ",https://justjoin.it/offers/neogames-database-developer-krakow-data
Senior Data Engineer (ETL + Python + AWS),1dea,Warszawa,27 720 - 31 080 pln,29400.0,Fully remote,"Python, SQL, ETL, ",https://justjoin.it/offers/1dea-senior-data-engineer-etl-python-aws--warszawa-data
ETL/IPC Developer,7N,Warszawa,21 840 - 24 360 pln,23100.0,Fully remote,"Informatica Powercenter, ETL, SQL, ",https://justjoin.it/offers/7n-etl-ipc-developer-warszawa-data
Programista Big Data,7N,Warszawa,18 480 - 26 040 pln,22260.0,Fully remote,"Spark, Hadoop, SQL, ",https://justjoin.it/offers/7n-programista-big-data-warszawa-data
Data Management Analyst,Pandora Jewelry,Warszawa,Undisclosed Salary,Not known,not fully remote,"Excel, ETL, ",https://justjoin.it/offers/pandora-jewelry-data-management-analyst-warszawa-data
Master Data Management Consultant - Fixed-term contract (6 months),Lingaro,Warszawa,Undisclosed Salary,Not known,Fully remote,"SQL, GCP, Azure, ",https://justjoin.it/offers/lingaro-master-data-management-consultant---fixed-term-contract-6-months--warszawa-data
Specjalista ds. Automatyzacji Procesów Biznesowych,Adamed,Pabianice,Undisclosed Salary,Not known,Fully remote,"RPA, Webcon, VBA, ",https://justjoin.it/offers/adamed-specjalista-ds-automatyzacji-procesow-biznesowych-pabianice-data
Senior MLOPS Engineer,BCF Software Sp. z o.o.,Wroc³aw,Undisclosed Salary,Not known,not fully remote,"Machine Learning, AI, ",https://justjoin.it/offers/bcf-software-sp-z-o-o--senior-mlops-engineer-wroc-aw-data
Big Data Analyst,InPost,Warszawa,Undisclosed Salary,Not known,Fully remote,"Python, SQL, PySpark, ",https://justjoin.it/offers/inpost-big-data-analyst-warszawa-data
Architekt Danych,BEST S.A.,Gdynia,Undisclosed Salary,Not known,Fully remote,"Cassandra, MongoDB, PostgreSQL, ",https://justjoin.it/offers/best-s-a--architekt-danych-gdynia-data
Tech Lead - Data Engineering,Stonex Poland,Kraków,Undisclosed Salary,Not known,not fully remote,"Java, Data Management, ",https://justjoin.it/offers/stonex-poland-tech-lead---data-engineering-krakow-data
AI Applications Engineer in Data&AI (She/He/They),Accenture,Warszawa,Undisclosed Salary,Not known,not fully remote,"Python, GCP, ",https://justjoin.it/offers/accenture-ai-applications-engineer-in-data-ai-she-he-they--warszawa-data
Data Scientist - Location Intelligence,Allegro,Poznañ,Undisclosed Salary,Not known,not fully remote,"Data analysis, Data Scientist, ",https://justjoin.it/offers/allegro-data-scientist---location-intelligence-poznan-data
Senior Data Science & Business Analyst,Wakacje.pl,Gdañsk,Undisclosed Salary,Not known,not fully remote,"SQL, Python, ",https://justjoin.it/offers/wakacje-pl-senior-data-science-business-analyst-gdansk-data
Data Science Team Leader (Obszar Marketingu),Wakacje.pl,Gdañsk,Undisclosed Salary,Not known,not fully remote,"Python, Machine Learning, ",https://justjoin.it/offers/wakacje-pl-data-science-team-leader-obszar-marketingu--gdansk-data
Experienced Data Warehouse Engineer,Future Mind,Warszawa,18 000 - 24 000 pln,21000.0,Fully remote,"SQL, Data modeling, Cloud Data Warehouse, ",https://justjoin.it/offers/future-mind-experienced-data-warehouse-engineer-warszawa-data
Experienced Data Engineer (Databricks),Future Mind,Warszawa,18 000 - 24 000 pln,21000.0,Fully remote,"PySpark, Databricks, Python, ",https://justjoin.it/offers/future-mind-experienced-data-engineer-databricks--warszawa-data
"AVP, FC Detection & DE (Senior Data Analyst)",HSBC Service Delivery,Kraków,15 000 - 20 000 pln,17500.0,not fully remote,"cloud technologies, SQL, ",https://justjoin.it/offers/hsbc-service-delivery-avp-fc-detection-de-senior-data-analyst--krakow-data
Data DevOps,PKO Bank Polski,Warszawa,Undisclosed Salary,Not known,not fully remote,"Oracle, CI/CD, ",https://justjoin.it/offers/pko-bank-polski-data-devops-warszawa-data
Database Developer,NeoGames,Kraków,Undisclosed Salary,Not known,not fully remote,"OLTP, MsSQL, ",https://justjoin.it/offers/neogames-database-developer-krakow-data
Senior Data Engineer (ETL + Python + AWS),1dea,Warszawa,27 720 - 31 080 pln,29400.0,Fully remote,"Python, ETL, SQL, ",https://justjoin.it/offers/1dea-senior-data-engineer-etl-python-aws--warszawa-data
ETL/IPC Developer,7N,Warszawa,21 840 - 24 360 pln,23100.0,Fully remote,"Informatica Powercenter, ETL, SQL, ",https://justjoin.it/offers/7n-etl-ipc-developer-warszawa-data
Programista Big Data,7N,Warszawa,18 480 - 26 040 pln,22260.0,Fully remote,"Hadoop, Spark, SQL, ",https://justjoin.it/offers/7n-programista-big-data-warszawa-data
Data Management Analyst,Pandora Jewelry,Warszawa,Undisclosed Salary,Not known,not fully remote,"Power BI, Azure, ",https://justjoin.it/offers/pandora-jewelry-data-management-analyst-warszawa-data
Specjalista ds. Automatyzacji Procesów Biznesowych,Adamed,Pabianice,Undisclosed Salary,Not known,Fully remote,"RPA, VBA, Webcon, ",https://justjoin.it/offers/adamed-specjalista-ds-automatyzacji-procesow-biznesowych-pabianice-data
Senior MLOPS Engineer,BCF Software Sp. z o.o.,Wroc³aw,Undisclosed Salary,Not known,not fully remote,"MLOps, AI, ",https://justjoin.it/offers/bcf-software-sp-z-o-o--senior-mlops-engineer-wroc-aw-data
Big Data Analyst,InPost,Warszawa,Undisclosed Salary,Not known,Fully remote,"SQL, PySpark, Python, ",https://justjoin.it/offers/inpost-big-data-analyst-warszawa-data
Architekt Danych,BEST S.A.,Gdynia,Undisclosed Salary,Not known,Fully remote,"MongoDB, PostgreSQL, Cassandra, ",https://justjoin.it/offers/best-s-a--architekt-danych-gdynia-data
Tech Lead - Data Engineering,Stonex Poland,Kraków,Undisclosed Salary,Not known,not fully remote,"C#, Algorithms, ",https://justjoin.it/offers/stonex-poland-tech-lead---data-engineering-krakow-data
AI Applications Engineer in Data&AI (She/He/They),Accenture,Warszawa,Undisclosed Salary,Not known,not fully remote,"Python, GCP, ",https://justjoin.it/offers/accenture-ai-applications-engineer-in-data-ai-she-he-they--warszawa-data
Data Scientist - Location Intelligence,Allegro,Poznañ,Undisclosed Salary,Not known,not fully remote,"ML, Data analysis, ",https://justjoin.it/offers/allegro-data-scientist---location-intelligence-poznan-data
Senior Data Science & Business Analyst,Wakacje.pl,Gdañsk,Undisclosed Salary,Not known,not fully remote,"Python, SQL, ",https://justjoin.it/offers/wakacje-pl-senior-data-science-business-analyst-gdansk-data
Data Science Team Leader (Obszar Marketingu),Wakacje.pl,Gdañsk,Undisclosed Salary,Not known,not fully remote,"Machine Learning, SQL, ",https://justjoin.it/offers/wakacje-pl-data-science-team-leader-obszar-marketingu--gdansk-data
Experienced Data Warehouse Engineer,Future Mind,Warszawa,18 000 - 24 000 pln,21000.0,Fully remote,"SQL, Data modeling, Cloud Data Warehouse, ",https://justjoin.it/offers/future-mind-experienced-data-warehouse-engineer-warszawa-data
Experienced Data Engineer (Databricks),Future Mind,Warszawa,18 000 - 24 000 pln,21000.0,Fully remote,"Python, PySpark, Databricks, ",https://justjoin.it/offers/future-mind-experienced-data-engineer-databricks--warszawa-data
"AVP, FC Detection & DE (Senior Data Analyst)",HSBC Service Delivery,Kraków,15 000 - 20 000 pln,17500.0,not fully remote,"SQL, Data, ",https://justjoin.it/offers/hsbc-service-delivery-avp-fc-detection-de-senior-data-analyst--krakow-data
Data DevOps,PKO Bank Polski,Warszawa,Undisclosed Salary,Not known,not fully remote,"MsSQL, CI/CD, ",https://justjoin.it/offers/pko-bank-polski-data-devops-warszawa-data
Database Developer,NeoGames,Kraków,Undisclosed Salary,Not known,not fully remote,"MsSQL, T-SQL, ",https://justjoin.it/offers/neogames-database-developer-krakow-data
Senior Data Engineer (ETL + Python + AWS),1dea,Warszawa,27 720 - 31 080 pln,29400.0,Fully remote,"ETL, SQL, Python, ",https://justjoin.it/offers/1dea-senior-data-engineer-etl-python-aws--warszawa-data
ETL/IPC Developer,7N,Warszawa,21 840 - 24 360 pln,23100.0,Fully remote,"Informatica Powercenter, ETL, SQL, ",https://justjoin.it/offers/7n-etl-ipc-developer-warszawa-data
Programista Big Data,7N,Warszawa,18 480 - 26 040 pln,22260.0,Fully remote,"Spark, Hadoop, Python, ",https://justjoin.it/offers/7n-programista-big-data-warszawa-data
Data Management Analyst,Pandora Jewelry,Warszawa,Undisclosed Salary,Not known,not fully remote,"SSIS, Power BI, ",https://justjoin.it/offers/pandora-jewelry-data-management-analyst-warszawa-data
